"designacion_anio","justicia_federal_o_nacional","cargo_tipo","instancia_tipo","materia","cantidad_varones","cantidad_mujeres"
2020,"Federal","Juez","Tribunal","Penal económico",1,0
2020,"Federal","Juez","Cámara","Seguridad social",2,2
2020,"Nacional","Juez","Cámara","Civil y/o comercial",1,0
2020,"Nacional","Juez","Juzgado","Civil y/o comercial",0,2
2020,"Nacional","Juez","Juzgado","Laboral",5,7
2020,"Nacional","Juez","Tribunal","Penal",1,2
2021,"Federal","Defensor","Cámara","Penal",4,1
2021,"Federal","Defensor","Juzgado","Penal",1,2
2021,"Federal","Defensor","Tribunal","Penal",0,2
2021,"Federal","Defensor","Tribunal","Penal económico",0,1
2021,"Nacional","Defensor","Juzgado","Penal",1,0
2021,"Nacional","Defensor","Juzgado","Sin datos",0,1
2021,"Federal","Fiscal","Juzgado","Penal",1,0
2021,"Federal","Juez","Cámara","Civil y/o comercial",1,1
2021,"Federal","Juez","Juzgado","Civil y/o comercial",3,1
2021,"Federal","Juez","Juzgado","Contencioso administrativo",0,1
2021,"Federal","Juez","Cámara","Múltiple",2,0
2021,"Federal","Juez","Juzgado","Múltiple",2,0
2021,"Federal","Juez","Cámara","Penal",2,0
2021,"Federal","Juez","Tribunal","Penal",3,0
2021,"Federal","Juez","Cámara","Penal económico",1,0
2021,"Nacional","Juez","Cámara","Civil y/o comercial",4,3
2021,"Nacional","Juez","Juzgado","Civil y/o comercial",9,5
2021,"Nacional","Juez","Cámara","Laboral",3,2
2021,"Nacional","Juez","Juzgado","Laboral",1,2
2021,"Nacional","Juez","Tribunal","Penal",6,2
